VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2020-01-02 13:00:00,2020-01-02 13:30:00,3,7.33,3,N,152,72,5,22.42,1.09,0.2,7.13,4.75,0.44,36.03
1,2020-01-02 14:00:00,2020-01-02 14:30:00,4,5.27,2,Y,246,60,2,48.37,1.96,0.16,9.52,3.16,0.34,63.51
1,2020-01-02 15:00:00,2020-01-02 15:30:00,4,1.88,2,Y,69,145,2,16.19,0.45,0.37,14.99,0.65,0.21,32.86
1,2020-01-02 16:00:00,2020-01-02 16:30:00,3,5.42,2,Y,289,93,4,11.02,0.81,0.21,1.57,2.8,0.38,16.79
1,2020-01-02 17:00:00,2020-01-02 17:30:00,4,5.26,3,Y,250,8,5,23.84,1.09,0.32,7.48,3.9,0.1,36.73
2,2020-01-02 18:00:00,2020-01-02 18:30:00,3,2.56,2,N,36,79,5,40.57,1.58,0.32,5.78,3.54,0.16,51.95
2,2020-01-02 19:00:00,2020-01-02 19:30:00,2,4.9,2,N,239,27,2,31.2,1.1,0.44,12.99,0.86,0.27,46.86
2,2020-01-02 20:00:00,2020-01-02 20:30:00,3,4.59,1,N,148,174,1,35.64,1.23,0.3,7.14,4.86,0.29,49.46
2,2020-01-02 21:00:00,2020-01-02 21:30:00,3,6.54,2,N,227,50,4,13.54,0.45,0.25,1.66,2.24,0.01,18.15
2,2020-01-02 22:00:00,2020-01-02 22:30:00,3,6.72,2,Y,244,199,5,32.85,1.69,0.07,9.52,0.8,0.47,45.4
1,2020-01-02 23:00:00,2020-01-02 23:30:00,4,1.41,3,N,201,181,2,19.56,0.86,0.06,11.56,0.9,0.35,33.29
2,2020-01-03 00:00:00,2020-01-03 00:30:00,4,4.37,3,N,154,24,5,42.54,0.28,0.08,0.04,0.49,0.25,43.68
2,2020-01-03 01:00:00,2020-01-03 01:30:00,3,6.63,3,Y,73,46,4,33.32,1.33,0.09,12.88,4.02,0.47,52.11
1,2020-01-03 02:00:00,2020-01-03 02:30:00,4,5.53,3,N,201,15,4,13.95,0.43,0.32,2.79,0.61,0.22,18.32
2,2020-01-03 03:00:00,2020-01-03 03:30:00,1,8.71,3,N,296,153,3,7.91,0.2,0.37,8.28,0.63,0.49,17.88
1,2020-01-03 04:00:00,2020-01-03 04:30:00,1,6.93,3,N,17,222,2,6.92,1.72,0.26,6.24,4.25,0.26,19.65
2,2020-01-03 05:00:00,2020-01-03 05:30:00,4,2.47,2,N,129,206,4,21.71,0.92,0.41,10.79,1.72,0.06,35.61
1,2020-01-03 06:00:00,2020-01-03 06:30:00,4,1.64,3,N,217,273,3,16.96,1.5,0.5,5.57,0.15,0.38,25.06
2,2020-01-03 07:00:00,2020-01-03 07:30:00,3,6.78,3,N,61,236,3,34.07,0.58,0.41,13.05,0.26,0.34,48.71
2,2020-01-03 08:00:00,2020-01-03 08:30:00,2,1.24,1,Y,104,228,5,27.47,1.57,0.35,10.96,0.71,0.39,41.45
1,2020-01-03 09:00:00,2020-01-03 09:30:00,4,6.27,2,Y,42,9,5,16.97,0.22,0.27,9.72,1.07,0.48,28.73
1,2020-01-03 10:00:00,2020-01-03 10:30:00,1,9.46,2,N,25,166,3,11.72,0.71,0.22,11.94,3.33,0.39,28.31
1,2020-01-03 11:00:00,2020-01-03 11:30:00,3,6.18,2,N,39,214,5,10.72,1.96,0.04,11.31,0.79,0.31,25.13
1,2020-01-03 12:00:00,2020-01-03 12:30:00,4,4.49,3,Y,291,117,4,43.91,1.59,0.2,0.54,0.59,0.43,47.26
1,2020-01-03 13:00:00,2020-01-03 13:30:00,1,6.79,3,N,131,72,1,15.96,0.99,0.46,5.92,3.82,0.34,27.49
1,2020-01-03 14:00:00,2020-01-03 14:30:00,1,5.12,3,N,229,64,4,34.33,0.68,0.4,13.96,3.36,0.2,52.93
1,2020-01-03 15:00:00,2020-01-03 15:30:00,2,5.91,1,N,108,205,3,41.48,1.74,0.11,1.89,2.18,0.44,47.84
1,2020-01-03 16:00:00,2020-01-03 16:30:00,3,9.47,3,Y,172,209,3,32.63,1.09,0.23,11.06,2.75,0.11,47.87
2,2020-01-03 17:00:00,2020-01-03 17:30:00,3,4.47,1,N,102,72,4,43.68,1.52,0.41,14.62,1.56,0.36,62.15
2,2020-01-03 18:00:00,2020-01-03 18:30:00,2,9.65,2,Y,12,277,5,22.66,1.51,0.03,0.78,2.41,0.44,27.83
1,2020-01-03 19:00:00,2020-01-03 19:30:00,2,9.15,3,N,275,274,5,48.03,0.04,0.19,10.23,2.53,0.37,61.39
2,2020-01-03 20:00:00,2020-01-03 20:30:00,3,2.76,1,Y,101,95,3,10.99,0.25,0.43,7.02,1.94,0.35,20.98
2,2020-01-03 21:00:00,2020-01-03 21:30:00,3,1.62,1,Y,44,166,2,9.6,1.32,0.2,8.69,4.53,0.38,24.72
2,2020-01-03 22:00:00,2020-01-03 22:30:00,4,1.91,3,N,17,32,5,34.64,0.32,0.04,1.28,0.08,0.23,36.59
2,2020-01-03 23:00:00,2020-01-03 23:30:00,4,1.16,2,Y,57,11,4,47.43,0.51,0.27,0.65,3.91,0.44,53.21
1,2020-01-04 00:00:00,2020-01-04 00:30:00,2,1.85,2,N,12,217,5,41.4,1.89,0.43,10.0,0.62,0.1,54.44
2,2020-01-04 01:00:00,2020-01-04 01:30:00,4,7.15,2,Y,80,289,4,8.44,1.12,0.3,12.35,3.99,0.06,26.26
1,2020-01-04 02:00:00,2020-01-04 02:30:00,1,1.64,1,N,216,102,3,17.57,1.5,0.11,11.73,3.08,0.14,34.13
2,2020-01-04 03:00:00,2020-01-04 03:30:00,4,3.87,1,N,264,267,5,46.86,1.12,0.19,8.16,4.22,0.27,60.82
2,2020-01-04 04:00:00,2020-01-04 04:30:00,4,8.6,1,Y,149,214,4,16.39,1.11,0.23,1.5,0.49,0.26,19.98
2,2020-01-04 05:00:00,2020-01-04 05:30:00,1,1.21,1,N,81,179,3,40.15,0.19,0.29,10.32,2.79,0.41,54.15
1,2020-01-04 06:00:00,2020-01-04 06:30:00,2,8.33,2,N,215,88,2,42.13,0.69,0.38,3.63,2.51,0.2,49.54
2,2020-01-04 07:00:00,2020-01-04 07:30:00,1,3.54,3,Y,198,41,4,27.3,0.56,0.05,13.67,3.53,0.24,45.35
1,2020-01-04 08:00:00,2020-01-04 08:30:00,4,2.06,1,N,200,76,2,22.39,0.78,0.44,12.57,2.67,0.01,38.86
2,2020-01-04 09:00:00,2020-01-04 09:30:00,2,7.27,1,N,25,46,2,25.26,1.6,0.01,10.64,2.7,0.2,40.41
1,2020-01-04 10:00:00,2020-01-04 10:30:00,4,6.66,2,Y,89,160,1,15.21,0.74,0.19,14.23,2.15,0.32,32.84
2,2020-01-04 11:00:00,2020-01-04 11:30:00,1,8.9,3,Y,268,80,5,45.02,0.9,0.01,0.47,1.54,0.01,47.95
1,2020-01-04 12:00:00,2020-01-04 12:30:00,1,7.62,3,N,143,86,4,25.28,0.79,0.2,11.04,2.41,0.14,39.86
1,2020-01-04 13:00:00,2020-01-04 13:30:00,4,8.23,2,N,59,92,2,44.71,0.19,0.26,4.95,0.59,0.1,50.8
2,2020-01-04 14:00:00,2020-01-04 14:30:00,3,3.54,2,Y,26,148,1,9.76,0.88,0.26,13.59,4.81,0.02,29.32
1,2020-01-04 15:00:00,2020-01-04 15:30:00,3,2.6,3,Y,47,161,3,49.47,0.39,0.08,4.0,3.57,0.24,57.75
2,2020-01-04 16:00:00,2020-01-04 16:30:00,1,7.76,1,N,288,202,4,24.95,0.37,0.32,10.87,4.76,0.09,41.36
2,2020-01-04 17:00:00,2020-01-04 17:30:00,1,8.26,3,Y,266,242,2,7.15,0.19,0.02,13.16,1.13,0.37,22.02
2,2020-01-04 18:00:00,2020-01-04 18:30:00,3,9.91,2,N,16,2,5,6.71,0.71,0.38,0.62,4.4,0.42,13.24
2,2020-01-04 19:00:00,2020-01-04 19:30:00,3,4.71,1,N,199,225,1,38.58,1.51,0.47,5.96,4.04,0.27,50.83
2,2020-01-04 20:00:00,2020-01-04 20:30:00,4,4.35,1,N,282,289,2,34.66,0.55,0.17,11.43,3.39,0.49,50.69
2,2020-01-04 21:00:00,2020-01-04 21:30:00,4,7.99,2,N,86,233,5,41.1,0.62,0.26,6.82,3.13,0.23,52.16
2,2020-01-04 22:00:00,2020-01-04 22:30:00,3,4.07,2,N,250,77,2,9.74,1.29,0.19,4.01,1.58,0.26,17.07
2,2020-01-04 23:00:00,2020-01-04 23:30:00,4,9.38,2,Y,270,116,4,6.6,0.39,0.0,3.3,4.08,0.49,14.86
2,2020-01-05 00:00:00,2020-01-05 00:30:00,4,8.73,3,Y,117,154,4,27.89,1.79,0.19,1.97,2.51,0.12,34.47
2,2020-01-05 01:00:00,2020-01-05 01:30:00,2,4.86,3,Y,7,103,4,22.44,1.04,0.4,12.86,0.35,0.47,37.56
2,2020-01-05 02:00:00,2020-01-05 02:30:00,4,7.76,1,Y,137,194,1,25.79,0.9,0.3,8.63,1.56,0.02,37.2
1,2020-01-05 03:00:00,2020-01-05 03:30:00,1,7.79,2,N,176,166,4,49.62,1.12,0.05,1.15,4.68,0.22,56.84
1,2020-01-05 04:00:00,2020-01-05 04:30:00,4,1.93,1,N,215,90,5,48.68,0.33,0.42,5.74,4.25,0.04,59.46
2,2020-01-05 05:00:00,2020-01-05 05:30:00,4,9.12,1,N,82,174,2,47.4,1.23,0.27,5.52,4.91,0.36,59.69
2,2020-01-05 06:00:00,2020-01-05 06:30:00,3,5.55,1,N,223,122,3,40.27,0.73,0.42,2.73,3.14,0.3,47.59
2,2020-01-05 07:00:00,2020-01-05 07:30:00,1,8.44,1,Y,103,143,5,20.97,1.79,0.29,6.53,1.24,0.35,31.17
2,2020-01-05 08:00:00,2020-01-05 08:30:00,4,3.88,2,N,273,106,5,23.55,0.34,0.28,4.98,0.81,0.19,30.15
2,2020-01-05 09:00:00,2020-01-05 09:30:00,4,9.06,1,N,14,123,4,29.73,1.01,0.05,5.13,0.93,0.18,37.03
2,2020-01-05 10:00:00,2020-01-05 10:30:00,2,4.5,2,Y,159,9,1,42.37,1.2,0.08,11.09,0.1,0.02,54.86
2,2020-01-05 11:00:00,2020-01-05 11:30:00,4,1.1,2,Y,152,262,2,8.09,0.07,0.49,3.35,1.95,0.17,14.12
2,2020-01-05 12:00:00,2020-01-05 12:30:00,4,9.15,3,Y,108,73,1,24.09,0.73,0.11,9.63,0.96,0.46,35.98
1,2020-01-05 13:00:00,2020-01-05 13:30:00,2,1.82,2,Y,188,223,2,8.72,1.47,0.49,8.56,2.06,0.19,21.49
2,2020-01-05 14:00:00,2020-01-05 14:30:00,3,3.87,3,N,98,41,2,28.16,1.64,0.27,8.52,4.67,0.42,43.68
1,2020-01-05 15:00:00,2020-01-05 15:30:00,4,9.55,2,N,131,204,1,45.45,0.63,0.07,9.95,2.15,0.42,58.67
2,2020-01-05 16:00:00,2020-01-05 16:30:00,2,9.56,2,Y,293,264,5,40.21,1.6,0.05,8.23,4.39,0.19,54.67
2,2020-01-05 17:00:00,2020-01-05 17:30:00,1,6.16,2,N,171,178,2,15.25,1.94,0.1,13.19,3.03,0.32,33.83
1,2020-01-05 18:00:00,2020-01-05 18:30:00,3,6.69,3,N,183,84,1,48.92,1.71,0.46,10.13,1.24,0.05,62.51
2,2020-01-05 19:00:00,2020-01-05 19:30:00,1,5.04,3,N,39,111,2,35.03,0.24,0.21,8.2,1.78,0.05,45.51
1,2020-01-05 20:00:00,2020-01-05 20:30:00,1,3.64,1,Y,15,251,3,5.47,1.48,0.2,12.45,0.42,0.02,20.04
2,2020-01-05 21:00:00,2020-01-05 21:30:00,2,3.96,3,N,4,7,5,16.49,0.64,0.16,9.09,1.67,0.29,28.34
2,2020-01-05 22:00:00,2020-01-05 22:30:00,4,7.05,3,Y,210,84,4,16.73,1.98,0.07,4.37,3.39,0.21,26.75
1,2020-01-05 23:00:00,2020-01-05 23:30:00,2,7.77,3,N,161,208,2,8.12,0.97,0.24,3.11,0.36,0.27,13.07
2,2020-01-06 00:00:00,2020-01-06 00:30:00,2,8.12,3,N,16,22,3,48.19,0.24,0.07,2.28,1.03,0.26,52.07
1,2020-01-06 01:00:00,2020-01-06 01:30:00,2,8.11,1,N,108,3,4,26.52,1.45,0.42,13.49,1.91,0.18,43.97
2,2020-01-06 02:00:00,2020-01-06 02:30:00,2,1.82,3,Y,227,127,4,45.31,0.65,0.19,10.65,4.91,0.34,62.05
1,2020-01-06 03:00:00,2020-01-06 03:30:00,3,5.45,2,N,170,297,2,19.5,1.99,0.19,14.06,3.92,0.38,40.04
1,2020-01-06 04:00:00,2020-01-06 04:30:00,4,1.52,2,Y,34,188,1,10.64,1.96,0.24,9.05,3.67,0.01,25.57
2,2020-01-06 05:00:00,2020-01-06 05:30:00,1,5.95,3,Y,251,14,2,26.35,1.31,0.22,7.1,0.58,0.1,35.66
2,2020-01-06 06:00:00,2020-01-06 06:30:00,1,4.97,3,Y,247,12,3,10.13,0.26,0.5,0.9,3.9,0.36,16.05
1,2020-01-06 07:00:00,2020-01-06 07:30:00,4,8.99,2,N,269,87,4,26.87,1.37,0.27,10.07,3.93,0.19,42.7
2,2020-01-06 08:00:00,2020-01-06 08:30:00,1,4.16,2,N,141,12,2,46.41,0.19,0.04,8.73,3.01,0.33,58.71
2,2020-01-06 09:00:00,2020-01-06 09:30:00,4,2.05,1,N,274,25,1,28.43,0.06,0.3,14.85,4.95,0.17,48.76
2,2020-01-06 10:00:00,2020-01-06 10:30:00,1,2.29,2,N,96,243,2,32.74,1.65,0.08,3.59,1.63,0.2,39.89
1,2020-01-06 11:00:00,2020-01-06 11:30:00,2,7.85,2,Y,227,122,5,12.05,0.42,0.02,7.96,4.71,0.08,25.24
1,2020-01-06 12:00:00,2020-01-06 12:30:00,1,6.56,3,Y,39,147,1,6.97,0.76,0.49,9.76,4.57,0.13,22.68
1,2020-01-06 13:00:00,2020-01-06 13:30:00,4,1.91,2,Y,29,55,3,9.99,1.95,0.39,9.67,0.06,0.3,22.36
1,2020-01-06 14:00:00,2020-01-06 14:30:00,4,1.76,1,N,245,238,4,31.93,0.67,0.49,8.42,2.25,0.22,43.98
1,2020-01-06 15:00:00,2020-01-06 15:30:00,4,7.31,2,Y,236,173,2,9.28,0.59,0.24,11.65,4.89,0.39,27.04
1,2020-01-06 16:00:00,2020-01-06 16:30:00,4,1.65,3,N,185,221,1,21.92,1.84,0.27,3.07,0.52,0.43,28.05
1,2020-01-06 17:00:00,2020-01-06 17:30:00,4,8.4,3,Y,272,119,5,29.75,0.22,0.08,10.88,2.74,0.27,43.94
1,2020-01-06 18:00:00,2020-01-06 18:30:00,3,7.36,2,N,236,183,1,22.49,1.52,0.12,9.3,4.89,0.38,38.7
1,2020-01-06 19:00:00,2020-01-06 19:30:00,3,1.73,3,N,239,288,5,12.37,1.98,0.42,13.44,2.78,0.15,31.14
2,2020-01-06 20:00:00,2020-01-06 20:30:00,1,1.76,1,Y,266,82,3,17.32,1.8,0.18,12.71,0.95,0.21,33.17
1,2020-01-06 21:00:00,2020-01-06 21:30:00,4,9.88,1,Y,65,211,4,46.77,1.3,0.41,4.73,2.91,0.36,56.48
2,2020-01-06 22:00:00,2020-01-06 22:30:00,1,4.37,2,Y,177,150,3,35.42,0.63,0.35,4.14,1.02,0.19,41.75
2,2020-01-06 23:00:00,2020-01-06 23:30:00,4,4.34,2,Y,3,37,2,27.32,0.51,0.09,14.72,2.6,0.29,45.53
2,2020-01-07 00:00:00,2020-01-07 00:30:00,4,8.32,2,N,142,59,1,5.57,1.64,0.25,7.91,0.37,0.09,15.83
1,2020-01-07 01:00:00,2020-01-07 01:30:00,3,9.53,3,Y,158,131,5,49.66,1.76,0.34,13.6,3.03,0.3,68.69
1,2020-01-07 02:00:00,2020-01-07 02:30:00,3,9.87,1,Y,146,202,5,35.22,1.05,0.12,2.46,2.58,0.43,41.86
1,2020-01-07 03:00:00,2020-01-07 03:30:00,2,7.78,1,Y,293,243,1,19.26,0.49,0.42,9.64,3.7,0.43,33.94
1,2020-01-07 04:00:00,2020-01-07 04:30:00,3,4.39,3,N,153,35,1,44.57,0.23,0.27,12.15,3.15,0.36,60.73
2,2020-01-07 05:00:00,2020-01-07 05:30:00,2,1.75,1,N,193,93,2,16.63,0.17,0.08,14.21,2.75,0.37,34.21
1,2020-01-07 06:00:00,2020-01-07 06:30:00,2,7.99,2,Y,73,207,3,29.48,1.44,0.29,5.06,3.45,0.28,40.0
1,2020-01-07 07:00:00,2020-01-07 07:30:00,2,6.03,2,N,140,213,5,33.62,0.84,0.5,10.87,0.72,0.29,46.84
1,2020-01-07 08:00:00,2020-01-07 08:30:00,2,4.82,2,Y,187,159,2,14.95,1.81,0.08,8.08,2.98,0.07,27.97
1,2020-01-07 09:00:00,2020-01-07 09:30:00,2,9.16,1,N,293,24,3,49.03,1.48,0.41,0.91,0.86,0.22,52.91
1,2020-01-07 10:00:00,2020-01-07 10:30:00,1,2.0,2,N,61,293,2,38.67,0.38,0.1,10.35,4.63,0.23,54.36
2,2020-01-07 11:00:00,2020-01-07 11:30:00,3,5.43,3,N,198,4,5,30.1,1.23,0.39,10.35,0.34,0.48,42.89
1,2020-01-07 12:00:00,2020-01-07 12:30:00,2,1.1,3,N,295,220,1,13.13,0.87,0.37,13.96,2.15,0.22,30.7
2,2020-01-07 13:00:00,2020-01-07 13:30:00,4,5.22,1,Y,11,20,1,7.42,1.15,0.15,7.46,3.48,0.27,19.93
1,2020-01-07 14:00:00,2020-01-07 14:30:00,3,1.51,3,Y,62,152,3,19.4,1.48,0.16,3.45,2.29,0.27,27.05
2,2020-01-07 15:00:00,2020-01-07 15:30:00,3,2.07,3,Y,226,50,4,38.89,1.61,0.4,0.67,0.46,0.32,42.35
1,2020-01-07 16:00:00,2020-01-07 16:30:00,2,2.06,1,N,153,177,3,17.12,1.69,0.23,6.23,2.77,0.37,28.41
1,2020-01-07 17:00:00,2020-01-07 17:30:00,1,6.84,2,Y,199,96,4,29.28,0.51,0.37,4.53,3.21,0.11,38.01
2,2020-01-07 18:00:00,2020-01-07 18:30:00,2,7.71,2,Y,52,105,2,37.76,0.06,0.07,11.42,3.52,0.26,53.09
2,2020-01-07 19:00:00,2020-01-07 19:30:00,1,6.25,2,Y,260,250,2,9.86,1.48,0.43,5.31,1.87,0.41,19.36
2,2020-01-07 20:00:00,2020-01-07 20:30:00,4,9.66,1,N,59,117,5,35.84,0.21,0.36,14.24,2.82,0.23,53.7
1,2020-01-07 21:00:00,2020-01-07 21:30:00,3,4.37,3,N,72,228,4,9.13,0.63,0.45,14.43,2.25,0.14,27.03
2,2020-01-07 22:00:00,2020-01-07 22:30:00,4,3.57,2,N,148,66,5,48.43,0.01,0.07,9.31,3.36,0.33,61.51
1,2020-01-07 23:00:00,2020-01-07 23:30:00,1,8.82,2,Y,63,262,1,26.98,1.36,0.3,13.93,2.92,0.41,45.9
1,2020-01-08 00:00:00,2020-01-08 00:30:00,1,3.01,1,Y,243,295,4,11.78,0.33,0.3,11.41,2.63,0.03,26.48
2,2020-01-08 01:00:00,2020-01-08 01:30:00,4,9.67,2,Y,107,243,3,20.41,1.31,0.18,8.2,1.25,0.39,31.74
2,2020-01-08 02:00:00,2020-01-08 02:30:00,1,1.11,1,N,226,186,1,23.6,1.98,0.23,2.7,0.01,0.41,28.93
1,2020-01-08 03:00:00,2020-01-08 03:30:00,4,9.73,3,N,218,246,1,39.12,0.15,0.02,6.88,0.87,0.23,47.27
1,2020-01-08 04:00:00,2020-01-08 04:30:00,3,1.39,1,Y,241,125,3,38.45,0.15,0.37,8.41,0.59,0.49,48.46
2,2020-01-08 05:00:00,2020-01-08 05:30:00,4,9.02,1,N,259,268,1,32.54,0.68,0.27,12.96,2.25,0.39,49.09
2,2020-01-08 06:00:00,2020-01-08 06:30:00,3,5.75,1,N,262,131,4,9.77,1.73,0.03,7.22,3.06,0.39,22.2
2,2020-01-08 07:00:00,2020-01-08 07:30:00,4,9.94,1,N,5,237,5,11.82,0.43,0.34,13.47,1.07,0.37,27.5
1,2020-01-08 08:00:00,2020-01-08 08:30:00,1,1.66,3,N,261,18,1,9.22,0.72,0.23,10.12,4.7,0.08,25.07
1,2020-01-08 09:00:00,2020-01-08 09:30:00,4,5.98,3,Y,54,40,4,30.97,0.14,0.02,2.05,0.03,0.11,33.32
1,2020-01-08 10:00:00,2020-01-08 10:30:00,1,9.72,2,N,47,21,2,44.47,1.53,0.48,14.92,3.86,0.23,65.49
1,2020-01-08 11:00:00,2020-01-08 11:30:00,4,5.71,3,N,215,225,4,24.52,0.82,0.47,7.91,3.13,0.13,36.98
1,2020-01-08 12:00:00,2020-01-08 12:30:00,4,6.66,3,N,177,282,5,12.24,1.52,0.26,5.88,1.87,0.21,21.98
1,2020-01-08 13:00:00,2020-01-08 13:30:00,2,7.26,2,N,9,8,4,30.11,1.81,0.05,9.89,0.25,0.44,42.55
2,2020-01-08 14:00:00,2020-01-08 14:30:00,1,5.09,3,Y,99,100,3,41.53,0.47,0.38,1.63,3.14,0.41,47.56
1,2020-01-08 15:00:00,2020-01-08 15:30:00,2,6.65,1,Y,20,240,5,38.38,1.61,0.25,9.55,1.93,0.32,52.04
1,2020-01-08 16:00:00,2020-01-08 16:30:00,1,6.26,1,N,241,87,2,44.67,0.12,0.15,7.47,4.68,0.43,57.52
1,2020-01-08 17:00:00,2020-01-08 17:30:00,2,9.11,2,N,61,298,3,17.51,1.8,0.25,6.1,2.71,0.39,28.76
2,2020-01-08 18:00:00,2020-01-08 18:30:00,3,1.41,2,N,178,14,4,13.73,1.3,0.26,14.3,4.7,0.21,34.5
1,2020-01-08 19:00:00,2020-01-08 19:30:00,4,3.53,2,N,62,2,5,44.59,1.75,0.28,7.84,1.1,0.1,55.66
1,2020-01-08 20:00:00,2020-01-08 20:30:00,1,9.55,1,N,145,293,2,34.59,0.0,0.22,3.29,3.63,0.26,41.99
